Phase One,,,,,,,,,,,
Introduced in Avengers: Infinity War ,,,,,,,,,,,
Eitri,,,,,,,Peter Dinklage,,,,
Corvus Glaive ,,,,,,,Michael James Shaw ,,,Michael James Shaw,
Ebony Maw ,,,,,,,Tom Vaughan-Lawlor ,,,Tom Vaugh-Lawlor,
Proxima Midnight ,,,,,,,Monique Ganderton,, ,Monique Ganderton ,
Cull Obsidian,,,,,,,Terry Notary ,,,Terry Notary ,
Introduced in Ant-Man and the Wasp ,,,,,,,,,,,
Sonny Burch,,,,,,,,Walton Goggins,,,
Bill Foster ,,,,,,,,Laurence Fishbune ,,,
"Ava Starr ""Ghost"" ",,,,,,,,Hannah John-Kamen ,,,
Elihas Starr ,,,,,,,,Michael Cerveris ,,,
Uzman,,,,,,,,Divian Ladwa ,,,
Jimmy Woo ,,,,,,,,Randall Park,,,
Introduced in Captain Marvel ,,,,,,,,,Algenis Perez Soto,,
Att-Lass ,,,,,,,,,Rune Temte ,,
Bron-Char ,,,,,,,,,Brie Larson,Brie Larson ,
"Carol Danvers ""Captain Marvel""",,,,,,,,,Annette Bening ,,
Mar-Vell/Wendy Lawson ,,,,,,,,,Gemma Chan ,,
Minn-Erva,,,,,,,,,Lashana Lynch ,,
Maria Rambeau ,,,,,,,,,Akira Akbar ,,
Monica Rambeau ,,,,,,,,,Sharon Blynn,,Sharon Blynn 
Soren ,,,,,,,,,Annette Bening ,,
Talos ,,,,,,,,,Ben Mendelson ,,Ben Medelson
Yon-Rogg,,,,,,,,,Jude Law,,
Introduced in Avengers:Endgame,,,,,,,,,,,
Akihiko,,,,,,,,,,Hiroyuki Sanada ,
Morgan Stark,,,,,,,,,,Alexandra Rachael Rabe ,
Introduced in Spider man: Far From Home ,,,,,,,,,,,
"Quentin Beck ""Mysterio""",,,,,,,,,,,Jake Gyllenhaal
Brad Davis ,,,,,,,,,,,Remy Hii 
Julius Dell,,,,,,,,,,,J.B. Smoove 
Dimitri,,,,,,,,,,,Numan Acar 
J. Jonah Jameson,,,,,,,,,,,J.K. Simmons 
